	Voltage(V)	Current(A)	Current(A) stdev	J(mA/cm2)	J(mA/cm2) stdev	PE(lm/W)	PE(lm/W) stdev	EQE(%)	EQE(%) stdev	L(cd/m2)	L(cd/m2) stdev	CE(cd/A)	CE(cd/A) stdev
39	6.800129999999999	0.003636543125	0.0010546066838087005	22.728387500000004	6.59129457977291	0.7859484375000001	0.1532323475636626	0.6133375000000001	0.11778260861275318	395.31199999999995	150.53251491289183	1.7012264267671968	0.33168410959746036
40	7.000109375	0.004079325625	0.0011664678004876987	25.49578125	7.2904253069710165	0.75041725	0.14692625788746033	0.6036360624999999	0.11370771851300858	436.938625	166.9499852822227	1.6720853594279523	0.32738394087845035
41	7.20008875	0.00454723	0.0013114264922118204	28.4202	8.196418481339883	0.7187479375	0.13888326679736687	0.5958113125	0.10973187291115487	479.656125	183.21572873830831	1.6472705384342066	0.3183071235256053
42	7.4001037499999995	0.00504255125	0.0014840864275071507	31.51595	9.275547587069994	0.6921098750000001	0.13062573600600064	0.5896994375	0.10732502089212978	525.8145625	201.57917768428143	1.6302841908606434	0.3076961207774342
43	7.600098125	0.005596233125	0.0016359262471063556	34.9764625	10.224537254802476	0.6627554999999999	0.12392627879862687	0.5795766875	0.10377072604226996	573.9375	219.3039504537595	1.603330273282523	0.29980324901753586
44	7.800084375	0.006188050625	0.0017950668152587968	38.67531875	11.219158495750625	0.6355010000000001	0.12071810378522353	0.5706450000000001	0.10355429585306927	625.125125	239.61343753895434	1.5778508041338009	0.2997281198081739
45	8.000069374999999	0.006802720625	0.0020068203541998616	42.517006249999994	12.542623235614865	0.611475625	0.11183929981947033	0.5629853125000001	0.09794854345823549	678.4484375	260.12501818139503	1.5571243362032408	0.28480209363683245
46	8.200016875	0.007521665625	0.002162444295924084	47.010425	13.515283625977851	0.5866015625000001	0.10491007646251667	0.5538433125	0.09453948101370054	737.8144375	278.81881560409636	1.5311167298927042	0.2738320863051915
47	8.400076875	0.00830003375	0.002325672086706537	51.8752125	14.535451881945182	0.564492	0.10459518250796734	0.5463638124999999	0.09679868255767918	800.3396250000001	297.60000237333566	1.5093571264549632	0.2796744976471621
48	8.600028125	0.009079313125	0.0025423189213755193	56.74571875	15.889487861838829	0.5442260000000001	0.09847267069598549	0.5392084375	0.0934721263124526	863.2651874999999	317.8277549855461	1.4898060306699699	0.26957091036567143
49	8.800051875000001	0.009927189999999999	0.0027538671108779016	62.04492499999999	17.21166539361822	0.5230701875	0.09454344769351997	0.5297268125	0.09249798887085244	928.6483125	341.7147550764597	1.465196293975617	0.2648322232126972
50	9.0000775	0.010805704374999999	0.0029940655858526396	67.53565625000002	18.71289938067351	0.5037384375	0.09044892996393653	0.5228377500000001	0.0893732696961877	995.358875	365.6584519238676	1.443117680359427	0.2591213646160976
51	9.200018125	0.011611314375	0.0034543633031699356	72.57071875	21.589795638831866	0.4938775625	0.08883709560761256	0.5238344375	0.09043376041817068	1063.1165624999999	395.4858519656501	1.4463004866074358	0.2601576704420027
52	9.400026875	0.0125951125	0.0037337866755053446	78.71947499999999	23.336181371357114	0.47855606250000005	0.08599810765321288	0.5186281875000001	0.08970982156668991	1137.8468750000002	416.0405621222339	1.4318984246631365	0.2573168464200211
53	9.600324375	0.013802644999999999	0.003725105609239488	86.26651874999999	23.281892826352703	0.4494573125	0.08269373121171185	0.496853375	0.08750797553143012	1212.710875	445.9186017077381	1.37348864375884	0.25270617820331787
