	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
250	B1-1	2.4002	7.38045e-06	0.0461278	-0.82872	-0.2572	-0.292057	-0.6331474728905346
251	B1-1	2.6002	1.13595e-05	0.0709969	1.36398	0.586837	0.801504	1.1289281644691527
252	B1-1	2.80023	1.89413e-05	0.118383	1.66013	0.0367625	1.75176	1.4797394896226654
253	B1-1	3.00016	3.36812e-05	0.210508	1.70143	0.285959	3.4204	1.6248313603283484
254	B1-1	3.20014	0.000302284	1.88928	0.396586	0.175422	7.63224	0.4039761178861789
255	B1-1	3.40008	0.000309115	1.93197	0.611879	0.197289	12.794	0.6622256039172452
256	B1-1	3.60004	0.000171123	1.06952	1.90948	0.588435	23.4024	2.188121774253871
257	B1-1	3.80009	0.000256767	1.60479	1.88008	0.836238	36.4955	2.274160482056842
258	B1-1	3.99997	0.000394933	2.46833	1.74705	0.801554	54.9055	2.2243986825100377
259	B1-1	4.19995	0.00055434	3.46462	1.61922	0.815848	74.9992	2.164716476843059
260	B1-1	4.39999	0.000730684	4.56677	1.54515	0.784533	98.8286	2.164080958752028
261	B1-1	4.59995	0.000920528	5.7533	1.46595	0.777258	123.492	2.1464550779552605
262	B1-1	4.80031	0.00112663	7.04144	1.39471	0.790152	150.059	2.1310839828216954
263	B1-1	5.00033	0.00135992	8.4995	1.30675	0.7647	176.78	2.07988705217954
264	B1-1	5.20029	0.00161478	10.0924	1.22823	0.759444	205.187	2.033084301058222
265	B1-1	5.40027	0.00188864	11.804	1.17894	0.741727	239.213	2.0265418502202643
266	B1-1	5.60025	0.00218846	13.6779	1.11448	0.728699	271.738	1.9866938638241252
267	B1-1	5.80028	0.00252835	15.8022	1.0718	0.717952	312.701	1.9788447178241007
268	B1-1	6.00025	0.00292109	18.2568	1.00897	0.690695	351.823	1.9270792252749662
269	B1-1	6.20031	0.00333441	20.8401	0.971234	0.69327	399.472	1.91684300939055
270	B1-1	6.4003	0.00379134	23.6959	0.923757	0.682656	445.945	1.8819500419903865
271	B1-1	6.60023	0.00429964	26.8727	0.88454	0.674819	499.389	1.8583506681502047
272	B1-1	6.80023	0.00485642	30.3526	0.840481	0.658655	552.202	1.8192906044292747
273	B1-1	7.00021	0.00546249	34.1406	0.806433	0.652654	613.48	1.7969221396226196
274	B1-1	7.20018	0.00611665	38.2291	0.766265	0.63451	671.377	1.7561935802830824
275	B1-1	7.40016	0.00683928	42.7455	0.728817	0.623852	733.837	1.7167584891976932
276	B1-1	7.60018	0.00761001	47.5626	0.70399	0.620028	810.039	1.7031007556357305
277	B1-1	7.80013	0.00844245	52.7653	0.671798	0.60501	880.115	1.6679806615332424
278	B1-1	8.00016	0.00933874	58.3671	0.645901	0.595427	960.026	1.6448067490075744
279	B1-1	8.20007	0.0103047	64.4044	0.618141	0.587398	1039.13	1.613445665202999
280	B1-1	8.40017	0.011318	70.7375	0.591872	0.575259	1119.48	1.582583495317194
281	B1-1	8.60013	0.0124031	77.5194	0.570853	0.566549	1211.41	1.5627184936931917
282	B1-1	8.80012	0.0135473	84.6706	0.54701	0.555784	1297.38	1.5322673986011677
283	B1-1	9.00014	0.0147721	92.3256	0.528039	0.54839	1396.65	1.5127440276586346
284	B1-1	9.20006	0.0160573	100.358	0.506701	0.537571	1489.17	1.4838577891149685
285	B1-1	9.40009	0.0174285	108.928	0.490193	0.531722	1597.68	1.4667303172737955
286	B1-1	9.60039	0.0188801	118.001	0.470093	0.521278	1695.14	1.4365471479055263
287	B1-1	9.7365	0.0200009	125.006	0.456281	0.513839	1767.73	1.4141161224261236
288	B2-1	-0.999959	-6.80302e-07	-0.00425189	38.2008	-30.2694	0.516995	-12.1591809759895
289	B2-1	-0.799982	-3.79608e-07	-0.00237255	73.3445	-9.09572	0.443112	-18.67661376999431
290	B2-1	-0.599964	-1.92043e-07	-0.00120027	90.9187	-4.95484	0.208405	-17.36317661859415
291	B2-1	-0.399955	-8.39133e-08	-0.000524458	-300.102	-12.517	-0.200374	38.205919253782
292	B2-1	-0.199987	-1.11214e-08	-6.95087e-05	-11996.2	-427.107	-0.530803	763.6497301776614
293	B2-1	7.86066e-05	2.39269e-08	0.000149543	-5827840.0	-315.549	-0.218064	-145.82026574296356
294	B2-1	0.200068	4.96275e-08	0.000310172	525.908	-617.516	0.103882	33.49174006680165
295	B2-1	0.400007	9.48176e-08	0.00059261	-568.279	-283.672	-0.428793	-72.35669327213512
296	B2-1	0.599992	1.66416e-07	0.0010401	-270.301	-166.991	-0.536932	-51.62311316219594
297	B2-1	0.800007	3.10273e-07	0.00193921	-109.302	-111.377	-0.539752	-27.833602343222243
