	Timestamp	Filtered Rate: CBP	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: F-BsubPc	Thickness: CBP	Thickness: F-BsubPc	State: CBP	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F-BsubPc
65	14:50:39	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
66	14:50:40	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
67	14:50:41	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
68	14:50:42	-0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
69	14:50:43	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
70	14:50:44	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
71	14:50:45	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
72	14:50:46	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
73	14:50:47	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
74	14:50:48	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
75	14:50:49	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
76	14:50:50	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
77	14:50:51	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
78	14:50:52	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
79	14:50:53	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	760
80	14:50:54	-0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
81	14:50:55	0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
82	14:50:56	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
83	14:50:57	-0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
84	14:50:58	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
85	14:50:59	-0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
86	14:51:00	-0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
