	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: BuO-BsubPc	State: CBP	State: TxOPhCz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: BuO-BsubPc
61	12:17:03	0.001	-0.000	-0.003	12.000	5.353	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	784
62	12:17:04	-0.001	-0.000	-0.003	12.000	5.445	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
63	12:17:05	-0.001	-0.000	-0.003	12.000	5.537	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
64	12:17:06	-0.001	-0.000	-0.003	12.000	5.628	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
65	12:17:09	-0.001	-0.000	-0.003	12.000	5.986	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
66	12:17:10	-0.001	0.000	-0.003	12.000	6.023	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
67	12:17:10	0.001	0.000	-0.003	12.000	6.050	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
68	12:17:11	0.001	0.000	-0.003	12.000	6.087	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
69	12:17:11	0.001	0.000	-0.003	12.000	6.114	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
70	12:17:12	0.007	0.000	-0.003	12.000	6.178	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
71	12:17:13	-0.008	-0.000	-0.003	12.000	6.270	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
72	12:17:14	-0.001	-0.000	-0.003	12.000	6.362	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
73	12:17:15	0.001	-0.000	-0.003	12.000	6.453	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
74	12:17:16	0.000	0.000	-0.003	12.000	6.545	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
75	12:17:17	0.001	0.000	-0.003	12.000	6.637	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
76	12:17:18	0.000	0.000	-0.003	12.000	6.728	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
77	12:17:19	-0.001	0.000	-0.003	12.000	6.820	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
78	12:17:20	-0.003	-0.000	-0.002	12.000	6.912	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
79	12:17:21	-0.001	0.000	-0.002	12.000	7.003	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
80	12:17:22	0.000	0.000	-0.002	12.000	7.095	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
81	12:17:23	0.001	-0.000	-0.002	12.000	7.187	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
82	12:17:24	-0.002	-0.000	-0.002	12.000	7.278	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
83	12:17:25	-0.003	-0.000	-0.002	12.000	7.370	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
84	12:17:26	-0.001	-0.000	-0.002	12.000	7.462	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
85	12:17:27	0.001	0.000	-0.002	12.000	7.553	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
86	12:17:28	-0.003	0.000	-0.002	12.000	7.645	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
87	12:17:29	0.001	0.000	-0.002	12.000	7.755	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
88	12:17:30	0.003	0.000	-0.002	12.000	7.828	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
89	12:17:31	-0.003	0.000	-0.002	12.000	7.920	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
90	12:17:32	0.000	0.000	-0.002	12.000	8.012	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
91	12:17:33	-0.001	-0.000	-0.002	12.000	8.103	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
92	12:17:34	0.000	-0.000	-0.002	12.000	8.195	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
93	12:17:35	-0.003	-0.000	-0.002	12.000	8.287	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
94	12:17:36	-0.001	-0.000	-0.002	12.000	8.378	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
95	12:17:37	0.002	0.000	-0.002	12.000	8.470	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
96	12:17:38	0.001	0.000	-0.002	12.000	8.562	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
97	12:17:39	-0.002	-0.000	-0.002	12.000	8.653	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
98	12:17:40	-0.001	-0.000	-0.002	12.000	8.745	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
99	12:17:41	-0.001	-0.000	-0.002	12.000	8.837	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
100	12:17:42	0.002	-0.000	-0.002	12.000	8.928	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
101	12:17:43	-0.003	-0.000	-0.002	12.000	9.020	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
102	12:17:44	0.001	-0.000	-0.002	12.000	9.112	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
103	12:17:45	-0.003	0.000	-0.002	12.000	9.203	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	790
104	12:17:46	0.001	-0.000	-0.001	12.000	9.295	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
105	12:17:47	0.001	-0.001	-0.001	12.000	9.387	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	781
106	12:17:48	-0.003	-0.000	-0.001	12.000	9.478	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
107	12:17:49	-0.001	-0.000	-0.001	12.000	9.570	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
108	12:17:50	0.001	-0.001	-0.001	12.000	9.662	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	784
109	12:17:51	0.001	-0.000	-0.001	12.000	9.753	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
110	12:17:52	0.002	-0.001	-0.001	12.000	9.845	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
111	12:17:53	-0.003	-0.001	-0.001	12.000	9.937	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
112	12:17:54	-0.001	-0.000	-0.001	12.000	10.028	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
113	12:17:55	-0.002	-0.000	-0.001	12.000	10.120	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
114	12:17:56	0.000	-0.001	-0.001	12.000	10.212	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
115	12:17:57	0.001	-0.000	-0.001	12.000	10.303	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
116	12:17:58	-0.001	-0.000	-0.001	12.000	10.395	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
117	12:17:59	0.000	-0.001	-0.001	12.000	10.487	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
118	12:18:00	-0.001	-0.000	-0.001	12.000	10.578	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
119	12:18:01	-0.001	-0.000	-0.001	12.000	10.670	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
120	12:18:02	0.002	-0.000	-0.001	12.000	10.762	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
121	12:18:03	0.003	-0.000	-0.001	12.000	10.853	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
122	12:18:04	-0.001	-0.000	-0.001	12.000	10.945	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
123	12:18:05	-0.001	-0.001	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
124	12:18:06	-0.001	-0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
125	12:18:07	-0.002	-0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	783
126	12:18:08	0.001	0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	784
127	12:18:09	-0.001	-0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	784
128	12:18:10	0.000	-0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
129	12:18:11	-0.002	0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	792
130	12:18:12	0.002	-0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
131	12:18:13	-0.003	0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
132	12:18:14	-0.001	0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
133	12:18:15	0.000	0.000	-0.001	12.000	11.000	16.945	0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
134	12:18:16	0.000	0.000	-0.000	12.000	11.000	16.945	0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
135	12:18:17	-0.001	0.008	-0.000	12.000	11.000	16.945	0.000	0.000	-0.000	Manual	Manual	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
