	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: OcO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: OcO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: OcO-BsubPc	State: CBP	State: TxOPhCz	State: OcO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: OcO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: OcO-BsubPc
53	11:41:41	-0.001	-0.000	-0.003	12.000	4.675	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
54	11:41:42	-0.000	0.000	-0.003	12.000	4.767	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
55	11:41:43	0.000	0.000	-0.003	12.000	4.858	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
56	11:41:44	-0.001	0.000	-0.003	12.000	4.950	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
57	11:41:45	0.000	-0.000	-0.003	12.000	5.042	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
58	11:41:46	-0.001	0.000	-0.003	12.000	5.133	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
59	11:41:47	-0.001	-0.000	-0.003	12.000	5.225	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
60	11:41:48	-0.000	0.000	-0.003	12.000	5.317	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
61	11:41:49	-0.001	0.000	-0.003	12.000	5.408	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
62	11:41:50	0.000	-0.000	-0.003	12.000	5.500	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
63	11:41:51	-0.001	0.000	-0.003	12.000	5.592	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
64	11:41:52	-0.001	-0.000	-0.003	12.000	5.683	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
65	11:41:53	0.000	0.000	-0.003	12.000	5.775	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
66	11:41:54	-0.001	0.000	-0.003	12.000	5.867	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
67	11:41:55	0.000	0.000	-0.003	12.000	5.958	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
68	11:41:56	-0.000	-0.000	-0.003	12.000	6.050	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
69	11:41:57	0.000	-0.000	-0.003	12.000	6.142	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	789
70	11:41:58	-0.001	0.000	-0.003	12.000	6.233	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	789
71	11:41:59	0.000	-0.000	-0.003	12.000	6.325	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
72	11:42:00	-0.001	0.000	-0.003	12.000	6.417	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
73	11:42:01	-0.001	0.000	-0.003	12.000	6.508	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
74	11:42:02	0.000	-0.000	-0.003	12.000	6.600	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
75	11:42:03	0.000	0.000	-0.003	12.000	6.692	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
76	11:42:04	0.000	0.000	-0.003	12.000	6.783	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
77	11:42:05	-0.001	-0.000	-0.003	12.000	6.875	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
78	11:42:06	-0.000	-0.000	-0.003	12.000	6.967	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
79	11:42:07	-0.001	-0.000	-0.003	12.000	7.058	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
80	11:42:08	0.000	-0.001	-0.003	12.000	7.150	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
81	11:42:09	-0.001	-0.000	-0.003	12.000	7.242	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
82	11:42:10	-0.000	-0.000	-0.003	12.000	7.333	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
83	11:42:11	0.000	-0.001	-0.003	12.000	7.425	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
84	11:42:12	-0.001	-0.000	-0.003	12.000	7.517	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
85	11:42:13	-0.001	-0.000	-0.003	12.000	7.608	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
86	11:42:14	-0.001	-0.001	-0.003	12.000	7.700	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
87	11:42:15	-0.001	-0.000	-0.003	12.000	7.792	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
88	11:42:16	-0.001	-0.000	-0.002	12.000	7.883	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
89	11:42:17	-0.001	-0.000	-0.002	12.000	7.975	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
90	11:42:18	-0.000	-0.000	-0.002	12.000	8.067	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
91	11:42:19	-0.001	-0.001	-0.002	12.000	8.158	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
92	11:42:20	0.000	-0.001	-0.002	12.000	8.250	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
93	11:42:21	-0.001	-0.001	-0.002	12.000	8.342	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
94	11:42:22	-0.001	-0.001	-0.002	12.000	8.433	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
95	11:42:23	0.000	-0.001	-0.002	12.000	8.525	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
96	11:42:24	-0.001	-0.001	-0.002	12.000	8.617	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
