	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
72	14:03:00	0.000	-0.000	8.440	13.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
73	14:03:01	0.000	-0.000	8.840	14.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	749
74	14:03:02	0.000	-0.000	9.240	14.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	750
75	14:03:03	0.000	-0.000	9.640	15.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
76	14:03:04	0.000	-0.000	10.040	16.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	746
77	14:03:05	0.000	-0.000	10.440	16.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	749
78	14:03:06	-0.001	-0.000	10.840	17.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
79	14:03:07	0.000	-0.000	11.240	18.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	747
80	14:03:08	0.000	-0.000	11.640	18.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	749
81	14:03:09	0.000	-0.000	12.000	19.600	-0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	00	Fundamental Activity	747
82	14:03:10	0.000	-0.000	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
83	14:03:11	-0.000	-0.000	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
84	14:03:12	0.000	-0.000	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
85	14:03:13	-0.001	-0.001	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
86	14:03:14	-0.001	-0.001	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	750
87	14:03:15	-0.001	-0.001	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
88	14:03:16	0.000	-0.001	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
89	14:03:17	-0.001	-0.002	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
90	14:03:18	0.000	-0.002	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	750
91	14:03:19	-0.001	-0.002	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
92	14:03:20	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
93	14:03:21	0.000	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
94	14:03:22	-0.001	-0.003	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
95	14:03:23	0.000	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
96	14:03:24	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	750
97	14:03:25	-0.001	-0.004	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
98	14:03:26	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
99	14:03:27	0.000	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
100	14:03:28	-0.001	-0.005	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
101	14:03:29	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
102	14:03:30	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	750
103	14:03:31	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
104	14:03:32	-0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
105	14:03:33	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
106	14:03:34	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
107	14:03:35	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
