	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: F-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: F-BsubPc	State: CBP	State: TxOPhCz	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: F-BsubPc
64	11:57:18	0.001	-0.012	-0.003	20.143	14.534	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
65	11:57:19	-0.001	-0.016	-0.003	20.143	14.877	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	765
66	11:57:20	-0.001	-0.006	-0.003	20.143	14.877	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
67	11:57:21	-0.001	-0.006	-0.003	20.143	14.877	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	763
68	11:57:22	-0.001	-0.004	-0.003	20.143	14.877	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	763
69	11:57:23	-0.002	0.001	-0.003	20.143	14.877	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
70	11:57:24	-0.001	0.002	-0.003	20.143	14.770	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	768
71	11:57:25	-0.001	0.001	-0.003	20.143	14.237	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	765
72	11:57:26	0.000	0.001	-0.003	20.143	13.421	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
73	11:57:27	-0.001	-0.004	-0.003	20.143	13.194	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
74	11:57:28	0.001	0.000	-0.003	20.143	13.023	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
75	11:57:29	-0.001	0.013	-0.003	20.143	12.560	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	768
76	11:57:30	0.000	0.015	-0.003	20.143	11.720	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	767
77	11:57:31	-0.001	0.014	-0.003	20.143	10.143	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	768
78	11:57:32	0.000	0.010	-0.003	20.143	6.505	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	769
79	11:57:33	0.001	0.003	-0.003	20.143	2.599	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	770
80	11:57:34	-0.000	0.003	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	770
81	11:57:35	-0.001	0.010	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	769
82	11:57:36	0.000	0.007	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	769
83	11:57:37	0.000	0.002	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	768
84	11:57:38	-0.001	0.003	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	770
85	11:57:39	0.000	0.010	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	776
86	11:57:40	0.001	0.009	-0.003	20.143	0.000	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	774
87	11:57:41	0.000	0.013	-0.003	20.143	0.175	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	773
88	11:57:42	0.000	0.008	-0.003	20.143	0.683	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	774
89	11:57:43	-0.001	0.003	-0.003	20.143	1.666	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
90	11:57:44	0.001	0.004	-0.002	20.143	2.858	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	773
91	11:57:45	-0.001	0.001	-0.002	20.143	5.051	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
92	11:57:46	0.000	0.007	-0.002	20.143	5.101	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
93	11:57:47	0.001	-0.001	-0.002	20.143	5.151	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	774
94	11:57:48	0.003	0.002	-0.002	20.143	5.461	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	777
95	11:57:49	-0.001	0.004	-0.002	20.143	5.858	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
96	11:57:50	0.000	-0.002	-0.002	20.143	6.626	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
97	11:57:51	-0.001	0.001	-0.002	20.143	7.001	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	773
98	11:57:52	0.000	-0.001	-0.002	20.143	7.111	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	776
99	11:57:53	-0.001	-0.003	-0.002	20.143	7.384	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
100	11:57:54	0.000	0.000	-0.002	20.143	7.886	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	771
