	Timestamp	Filtered Rate: CBP	Filtered Rate: tri-PXZ-trz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: tri-PXZ-trz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: tri-PXZ-trz	Thickness: BuO-BsubPc	State: CBP	State: tri-PXZ-trz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: tri-PXZ-trz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: tri-PXZ-trz	Current Z-Ratio: BuO-BsubPc
103	11:42:10	-0.001	-0.003	-0.002	20.583	10.120	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
104	11:42:11	0.000	-0.001	-0.002	20.583	10.210	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
105	11:42:12	-0.001	-0.002	-0.002	20.583	10.320	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
106	11:42:13	-0.001	-0.001	-0.002	20.583	10.410	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
107	11:42:14	-0.001	-0.001	-0.002	20.583	10.510	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	790
108	11:42:15	-0.000	-0.001	-0.002	20.583	10.610	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
109	11:42:16	-0.001	-0.001	-0.002	20.583	10.710	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
110	11:42:17	-0.001	-0.001	-0.002	20.583	10.810	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
111	11:42:18	-0.001	-0.001	-0.002	20.583	10.910	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
112	11:42:19	-0.001	-0.001	-0.002	20.583	11.010	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
113	11:42:20	-0.001	-0.001	-0.002	20.583	11.110	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
114	11:42:21	-0.001	-0.000	-0.002	20.583	11.210	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
115	11:42:22	0.000	-0.001	-0.002	20.583	11.310	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
116	11:42:23	-0.001	-0.001	-0.002	20.583	11.410	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
117	11:42:24	-0.001	-0.001	-0.001	20.583	11.510	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
118	11:42:25	-0.001	-0.002	-0.001	20.583	11.610	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
119	11:42:26	0.000	-0.001	-0.001	20.583	11.710	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
120	11:42:27	-0.001	-0.001	-0.001	20.583	11.810	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
121	11:42:28	-0.001	-0.001	-0.001	20.583	11.910	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
122	11:42:29	-0.001	-0.001	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
123	11:42:30	-0.001	-0.001	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
124	11:42:31	-0.001	-0.000	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
125	11:42:32	-0.001	-0.001	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
126	11:42:33	-0.001	-0.001	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	790
127	11:42:34	-0.000	-0.001	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
128	11:42:35	0.000	-0.002	-0.001	20.583	12.000	18.000	-0.000	-0.000	-0.000	Manual	PreCon Soak	Manual	Sensor Status	1	00	Fundamental Activity	000.000	790
