	Wavelength (nm)	Intensity (Counts)	Standard Deviation (Counts)
244	502.0	6784.611111111111	1141.7242388835934
245	502.5	6967.0	1085.7686473441547
246	503.0	6967.5	1188.9352028881417
247	503.5	7193.388888888889	1148.0815466047352
248	504.0	7208.666666666667	1156.3486114105517
249	504.5	7457.222222222223	1144.1786260873175
250	505.0	7506.777777777777	1108.586214537114
251	505.5	7526.277777777777	1170.904199779695
252	506.0	7637.333333333333	1185.896519750166
253	506.5	7750.888888888889	1273.6560624564618
254	507.0	7997.333333333333	1374.4542755419532
255	507.5	7985.944444444444	1250.7050665845434
256	508.0	7969.5	1217.2150476486158
257	508.5	8044.0	1223.2987279392462
258	509.0	8231.111111111111	1272.512732478928
259	509.5	8292.388888888889	1231.0917078795862
260	510.0	8400.277777777777	1345.5803706767638
261	510.5	8517.611111111111	1254.2828911324807
262	511.0	8609.5	1273.6895335119063
263	511.5	8721.888888888889	1242.405546997387
264	512.0	8851.888888888889	1308.3559186538437
265	512.5	8874.722222222223	1393.0368825601277
266	513.0	9105.111111111111	1348.0331305230056
267	513.5	9230.555555555555	1461.8337123179012
268	514.0	9213.0	1389.5344943941159
269	514.5	9270.555555555555	1416.4779569301936
270	515.0	9379.0	1358.9732235118624
271	515.5	9609.166666666666	1392.1258025049315
272	516.0	9569.333333333334	1439.5193642323816
273	516.5	9781.111111111111	1487.6979191910675
274	517.0	9812.388888888889	1431.9366504799204
275	517.5	9945.5	1447.903628238657
276	518.0	9945.777777777777	1381.8773283534556
277	518.5	10107.166666666666	1517.659208196037
278	519.0	10014.166666666666	1458.584368869731
279	519.5	10329.833333333334	1503.9557192801774
280	520.0	10233.666666666666	1397.771003339881
281	520.5	10289.611111111111	1537.427799167922
282	521.0	10375.5	1398.4149062420638
283	521.5	10480.388888888889	1496.130347072774
284	522.0	10409.611111111111	1490.3702425493282
285	522.5	10512.833333333334	1514.5693282250238
